kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,RString,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,ShoKisaiHokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,KaigoHihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
keigenritsu,numeric,Decimal,,,,,A
serviceSyuruiCode,DbUDD005ServiceShuruiCode,ServiceShuruiCode,,,,,A
riyoshaFutanTotal,int4,int,,,,,A
keigengaku,int4,int,,,,,A
keigengoRiyoshaFutangaku,int4,int,,,,,A
biko,varchar,RString,,,,,A
atoRiyoshaFutanTotal,int4,int,,,,,A
atoKeigengaku,int4,int,,,,,A
atoKeigengoRiyoshaFutangaku,int4,int,,,,,A
saishinsaKaisu,int2,int,,,,,A
kagoKaisu,int2,int,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
